Topic,Count,Name,Representation,Representative_Docs
-1,104,-1_honesty_journey_bad_mentalhealth,"['honesty', 'journey', 'bad', 'mentalhealth', 'part', 'of', 'too', 'scratch', 'obsessed', 'foodie']","['Bad days are part of the journey too ğŸŒ§ï¸ #mentalhealth #honesty', 'Bad days are part of the journey too ğŸŒ§ï¸ #mentalhealth #honesty', 'Bad days are part of the journey too ğŸŒ§ï¸ #mentalhealth #honesty']"
0,427,0_sunsets_goldenhour_energy_chasing,"['sunsets', 'goldenhour', 'energy', 'chasing', 'vibes', 'good', 'and', 'only', 'morningroutine', 'morning']","['Chasing sunsets and good energy ğŸŒ… #goldenhour #vibes', 'Chasing sunsets and good energy ğŸŒ… #goldenhour #vibes', 'Chasing sunsets and good energy ğŸŒ… #goldenhour #vibes']"
1,138,1_wake_view_worth_nature,"['wake', 'view', 'worth', 'nature', 'it', 'hiking', '4am', 'the', 'up', 'made']","['This view made the 4am wake up worth it ğŸ”ï¸ #hiking #nature', 'This view made the 4am wake up worth it ğŸ”ï¸ #hiking #nature', 'This view made the 4am wake up worth it ğŸ”ï¸ #hiking #nature']"
2,138,2_showing_reallife_looks_like,"['showing', 'reallife', 'looks', 'like', 'every', 'but', 'authentic', 'anyway', 'up', 'not']","[""Not every day looks like this but I'm showing up anyway ğŸ’ª #reallife #authentic"", ""Not every day looks like this but I'm showing up anyway ğŸ’ª #reallife #authentic"", ""Not every day looks like this but I'm showing up anyway ğŸ’ª #reallife #authentic""]"
3,79,3_scratch_obsessed_honestly_homecooking,"['scratch', 'obsessed', 'honestly', 'homecooking', 'from', 'foodie', 'made', 'and', 'this', '']","['Made this from scratch and honestly obsessed ğŸ³ #homecooking #foodie', 'Made this from scratch and honestly obsessed ğŸ³ #homecooking #foodie', 'Made this from scratch and honestly obsessed ğŸ³ #homecooking #foodie']"
4,76,4_spot_place_new_just,"['spot', 'place', 'new', 'just', 'foodblogger', 'favorite', 'eats', 'became', 'my', 'this']","['This place just became my new favorite spot ğŸœ #foodblogger #eats', 'This place just became my new favorite spot ğŸœ #foodblogger #eats', 'This place just became my new favorite spot ğŸœ #foodblogger #eats']"
5,74,5_tip_shortcut_saves_quick,"['tip', 'shortcut', 'saves', 'quick', 'productivity', 'one', 'me', 'keyboard', 'hour', 'an']","['Quick tip: this one keyboard shortcut saves me an hour a day âŒ¨ï¸ #productivity', 'Quick tip: this one keyboard shortcut saves me an hour a day âŒ¨ï¸ #productivity', 'Quick tip: this one keyboard shortcut saves me an hour a day âŒ¨ï¸ #productivity']"
6,70,6_spot_place_new_just,"['spot', 'place', 'new', 'just', 'foodblogger', 'favorite', 'eats', 'became', 'my', 'this']","['This place just became my new favorite spot ğŸœ #foodblogger #eats', 'This place just became my new favorite spot ğŸœ #foodblogger #eats', 'This place just became my new favorite spot ğŸœ #foodblogger #eats']"
7,66,7_wellness_sunday_selfcare_reset,"['wellness', 'sunday', 'selfcare', 'reset', 'mode', 'activated', '', '', '', '']","['Sunday reset mode activated ğŸŒ¿ #selfcare #wellness', 'Sunday reset mode activated ğŸŒ¿ #selfcare #wellness', 'Sunday reset mode activated ğŸŒ¿ #selfcare #wellness']"
8,65,8_scratch_obsessed_honestly_homecooking,"['scratch', 'obsessed', 'honestly', 'homecooking', 'from', 'foodie', 'made', 'and', 'this', '']","['Made this from scratch and honestly obsessed ğŸ³ #homecooking #foodie', 'Made this from scratch and honestly obsessed ğŸ³ #homecooking #foodie', 'Made this from scratch and honestly obsessed ğŸ³ #homecooking #foodie']"
9,64,9_only_morningroutine_morning_lifestyle,"['only', 'morningroutine', 'morning', 'lifestyle', 'coffee', 'good', 'vibes', 'and', '', '']","['Morning coffee and good vibes only â˜• #morningroutine #lifestyle', 'Morning coffee and good vibes only â˜• #morningroutine #lifestyle', 'Morning coffee and good vibes only â˜• #morningroutine #lifestyle']"
